Time,salesqty
2017-01-02,83.0
2017-01-09,107.0
2017-01-16,112.0
2017-01-23,129.0
2017-01-30,159.0
2017-02-06,116.0
2017-02-13,108.0
2017-02-20,77.0
2017-02-27,162.0
2017-03-06,133.0
2017-03-13,98.0
2017-03-20,49.0
2017-03-27,66.0
2017-04-03,124.0
2017-04-10,126.0
2017-04-17,152.0
2017-04-24,78.0
2017-05-01,69.0
2017-05-08,151.0
2017-05-15,73.0
2017-05-22,110.0
2017-05-29,89.0
2017-06-05,66.0
2017-06-12,93.0
2017-06-19,81.0
2017-06-26,48.0
2017-07-03,40.0
2017-07-10,124.0
2017-07-17,105.0
2017-07-24,76.0
2017-07-31,75.0
2017-08-07,88.0
2017-08-14,85.0
2017-08-21,74.0
2017-08-28,94.0
2017-09-04,123.0
2017-09-11,109.0
2017-09-18,90.0
2017-09-25,101.0
2017-10-02,119.0
2017-10-09,72.0
2017-10-16,75.0
2017-10-23,89.0
2017-10-30,70.0
2017-11-06,78.0
2017-11-13,75.0
2017-11-20,104.0
2017-11-27,82.0
2017-12-04,66.0
2017-12-11,97.0
2017-12-18,100.0
2017-12-25,93.0
2018-01-01,37.0
2018-01-08,75.0
2018-01-15,66.0
2018-01-22,84.0
2018-01-29,103.0
2018-02-05,132.0
2018-02-12,79.0
2018-02-19,109.0
2018-02-26,159.0
2018-03-05,98.0
2018-03-12,59.0
2018-03-19,47.0
2018-03-26,66.0
2018-04-02,79.0
2018-04-09,70.0
2018-04-16,75.0
2018-04-23,105.0
2018-04-30,71.0
2018-05-07,62.0
2018-05-14,74.0
2018-05-21,86.0
2018-05-28,39.0
2018-06-04,51.0
2018-06-11,76.0
2018-06-18,50.0
2018-06-25,53.0
2018-07-02,73.0
2018-07-09,28.0
2018-07-16,65.0
2018-07-23,112.0
2018-07-30,55.0
2018-08-06,80.0
2018-08-13,70.0
2018-08-20,58.0
2018-08-27,48.0
2018-09-03,71.0
2018-09-10,51.0
2018-09-17,32.0
2018-09-24,82.0
2018-10-01,56.0
2018-10-08,54.0
2018-10-15,41.0
2018-10-22,58.0
2018-10-29,53.0
2018-11-05,71.0
2018-11-12,25.0
2018-11-19,69.0
2018-11-26,37.0
2018-12-03,56.0
2018-12-10,38.0
2018-12-17,43.0
2018-12-24,36.0
2018-12-31,57.50731707317073
2019-01-07,25.0
2019-01-14,31.0
2019-01-21,41.0
2019-01-28,50.0
2019-02-04,79.0
2019-02-11,27.0
2019-02-18,95.0
2019-02-25,38.0
2019-03-04,53.0
2019-03-11,37.0
2019-03-18,49.0
2019-03-25,28.0
2019-04-01,27.0
2019-04-08,50.0
2019-04-15,45.0
2019-04-22,15.0
2019-04-29,17.0
2019-05-06,57.50731707317073
2019-05-13,20.0
2019-05-20,57.50731707317073
2019-05-27,32.0
2019-06-03,23.0
2019-06-10,15.0
2019-06-17,57.50731707317073
2019-06-24,21.0
2019-07-01,38.0
2019-07-08,33.0
2019-07-15,16.0
2019-07-22,17.0
2019-07-29,30.0
2019-08-05,43.0
2019-08-12,57.50731707317073
2019-08-19,22.0
2019-08-26,27.0
2019-09-02,40.0
2019-09-09,29.0
2019-09-16,24.0
2019-09-23,42.0
2019-09-30,41.0
2019-10-07,18.0
2019-10-14,32.0
2019-10-21,20.0
2019-10-28,21.0
2019-11-04,39.0
2019-11-11,39.0
2019-11-18,42.0
2019-11-25,43.0
2019-12-02,83.0
2019-12-09,61.0
2019-12-16,20.0
2019-12-23,28.0
2019-12-30,57.50731707317073
2020-01-06,17.0
2020-01-13,24.0
2020-01-20,16.0
2020-01-27,26.0
2020-02-03,28.0
2020-02-10,31.0
2020-02-17,40.0
2020-02-24,35.0
2020-03-02,31.0
2020-03-09,47.0
2020-03-16,46.0
2020-03-23,35.0
2020-03-30,24.0
2020-04-06,26.0
2020-04-13,25.0
2020-04-20,27.0
2020-04-27,57.50731707317073
2020-05-04,26.0
2020-05-11,36.0
2020-05-18,21.0
2020-05-25,23.0
2020-06-01,43.0
2020-06-08,21.0
2020-06-15,16.0
2020-06-22,36.0
2020-06-29,43.0
2020-07-06,26.0
2020-07-13,34.0
2020-07-20,53.0
2020-07-27,31.0
2020-08-03,35.0
2020-08-10,28.0
2020-08-17,24.0
2020-08-24,59.0
2020-08-31,62.0
2020-09-07,34.0
2020-09-14,82.0
2020-09-21,24.0
2020-09-28,52.0
2020-10-05,38.0
2020-10-12,58.0
2020-10-19,57.50731707317073
2020-10-26,49.0
2020-11-02,43.0
2020-11-09,46.0
2020-11-16,41.0
2020-11-23,52.0
2020-11-30,57.50731707317073
