productid,p_label,p_externalcode,buid,bu_label,salesqty,startdate,nomenclatureid,nomenclaturecode,ncl_label,ncl_externalcode,bu_externalcode,level,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,169,2017-01-02,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,325,2017-01-09,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,410,2017-01-16,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,387,2017-01-23,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,358,2017-01-30,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,388,2017-02-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,381,2017-02-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,317,2017-02-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,149,2017-02-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,403,2017-03-06,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,305,2017-03-13,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,370,2017-03-20,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,605,2017-03-27,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,301,2017-04-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,313,2017-04-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,350,2017-04-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,314,2017-04-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,242,2017-05-01,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,278,2017-05-08,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,392,2017-05-15,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,277,2017-05-22,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,366,2017-05-29,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,306,2017-06-05,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,233,2017-06-12,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,429,2017-06-19,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,222,2017-06-26,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,297,2017-07-03,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,177,2017-07-10,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,254,2017-07-17,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,91,2017-07-24,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,205,2017-07-31,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,244,2017-08-07,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
13692,MDD/SHOCK BAT AVEC VOITURE.COCOA-NUG.50,913994,1,(001) MYTISHI,244,2017-08-14,3269,1,530 - BATTE DE CHOC REGULIER,5260300530,1,5,
